,Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
44,2022-01-01 23:30:00-05:00,XRPUSDT,0.845,0.846,0.8375,0.8394,4414373.0,0.8533915922385007,Sell,0.8582933,False,False,True,0.8533915922385007,0.0039367182486166,19.388368012831336,-0.2267999999999998
45,2022-01-02 22:30:00-05:00,XRPUSDT,0.8499,0.85,0.844,0.8459,1757438.0,0.8591684765622436,Sell,0.8548287,True,True,False,0.8424,0.0040495642823753,21.994250663460924,0.1420999999999999
46,2022-01-04 13:00:00-05:00,XRPUSDT,0.8292,0.831,0.8265,0.8274,3164956.0,0.8430718170544403,Sell,0.8453641,True,True,False,0.7734,0.0046772911030903,17.204269333049442,0.5859000000000008
47,2022-01-06 21:30:00-05:00,XRPUSDT,0.7694,0.7697,0.7631,0.7636,1609111.0,0.7829288113157012,Sell,0.8160843,True,False,False,0.7636,0.0062540039189412,24.509268625041607,0.1329999999999993
49,2022-01-09 19:30:00-05:00,XRPUSDT,0.7554,0.7554,0.7483,0.7487,2058498.0,0.7687170742358672,Sell,0.7757045,True,True,False,0.7436,0.0054538783553801,18.73984509437136,0.3254999999999999
50,2022-01-11 05:30:00-05:00,XRPUSDT,0.7363,0.7365,0.7307,0.7316,2233474.0,0.7482453961667722,Sell,0.7587197,False,False,True,0.7482453961667722,0.005511247010408,17.956305426230514,-0.3037999999999992
53,2022-01-17 19:30:00-05:00,XRPUSDT,0.7655,0.7675,0.7644,0.767,496000.0,0.7523169658923303,Buy,0.7549003,False,False,True,0.7523169658923303,0.0043757285961925,29.788957238653843,-0.1974
55,2022-01-20 16:30:00-05:00,XRPUSDT,0.7486,0.7487,0.7327,0.733,7833252.0,0.7585523310421967,Sell,0.7415786,True,True,False,0.6142,0.0048049722234869,32.41676427536655,1.0717
56,2022-01-23 10:30:00-05:00,XRPUSDT,0.6059,0.606,0.599,0.604,2288240.0,0.6255138496831261,Sell,0.6764652,False,False,True,0.6255138496831261,0.0078203443910901,20.16045746480552,-0.3612000000000006
57,2022-01-24 03:30:00-05:00,XRPUSDT,0.6,0.6094,0.5917,0.5944,12606900.0,0.6230422077116086,Sell,0.6607175,True,False,False,0.5944,0.0072462476271001,11.501449271571056,0.2002000000000005
58,2022-01-26 16:30:00-05:00,XRPUSDT,0.6232,0.6232,0.606,0.6068,5098632.0,0.6527403122748129,Sell,0.6209423,False,True,False,0.5963,0.0102156546179601,25.119022482559025,0.1469999999999993
60,2022-01-31 10:00:00-05:00,XRPUSDT,0.5934,0.6009,0.5934,0.5963,6038416.0,0.583912553207621,Buy,0.5856283,True,True,False,0.6131,0.0041771294712804,35.08005543427777,0.1903999999999992
63,2022-02-06 09:00:00-05:00,XRPUSDT,0.671,0.6734,0.6705,0.6731,1556539.0,0.6637863291296274,Buy,0.604219,False,False,True,0.6637863291296274,0.0029091119095415,9.949696493816536,-0.1358000000000006
64,2022-02-06 18:00:00-05:00,XRPUSDT,0.6715,0.6852,0.6707,0.6795,5864703.0,0.6623522117832732,Buy,0.6082165,True,True,False,0.8335,0.0045260796205901,13.495126274800922,1.2887000000000002
